code,name,price,change,change_percent,high,low,volume,amount,total_mv,float_mv,pe,pb,turnover_rate,market
000777,中核科技,22.27,-0.39,-1.72,22.85,22.25,6021500,135490000.0,85.39,3.75,37.23,24.93,1.57,深市A股
300847,中船汉光,15.39,-0.27,-1.72,15.8,15.38,3792900,59220000.0,45.56,3.11,36.76,18.79,1.28,深市A股
300816,艾可蓝,62.61,-1.1,-1.73,64.36,62.05,1230600,77790000.0,50.09,5.52,100.42,76.45,2.17,深市A股
301566,达利凯普,19.37,-0.34,-1.73,20.05,19.35,6712300,132010000.0,77.48,5.39,68.1,23.65,3.23,深市A股
301408,华人健康,17.0,-0.3,-1.73,17.64,16.94,9288500,160820000.0,68.0,3.24,49.38,20.76,4.06,深市A股
600097,开创国际,10.78,-0.19,-1.73,11.08,10.75,4538900,49510000.0,25.97,1.12,35.15,12.07,1.88,沪市A股
300515,三德科技,17.64,-0.31,-1.73,18.15,17.56,3115900,55650000.0,36.3,3.9,19.8,21.54,1.54,深市A股
301270,汉仪股份,31.18,-0.55,-1.73,32.5,31.16,1695800,53860000.0,31.18,3.17,210.36,38.08,1.79,深市A股
300084,海默科技,10.78,-0.19,-1.73,11.1,10.67,19426500,210830000.0,54.8,4.39,-23.99,13.16,5.61,深市A股
002683,广东宏大,39.16,-0.69,-1.73,40.38,39.0,7006900,278580000.0,297.57,4.24,31.09,43.84,1.05,深市A股
300255,常山药业,37.38,-0.66,-1.74,38.79,37.32,13662000,518100000.0,343.54,22.64,-137.71,45.65,1.49,深市A股
002568,百润股份,16.95,-0.3,-1.74,17.65,16.93,6401900,110290000.0,176.56,3.88,24.55,18.98,0.89,深市A股
603325,博隆技术,72.17,-1.28,-1.74,74.2,71.88,491900,35910000.0,57.74,2.18,19.44,80.8,1.44,沪市A股
600054,黄山旅游,13.0,-0.23,-1.74,13.48,12.82,9800800,128030000.0,94.82,2.0,30.1,14.55,1.91,沪市A股
603758,秦安股份,12.43,-0.22,-1.74,12.75,12.42,3000300,37730000.0,54.54,2.12,36.5,13.92,0.68,沪市A股
301216,万凯新材,26.53,-0.47,-1.74,27.35,25.66,17471600,466220000.0,153.92,2.54,-51.31,32.4,3.19,深市A股
603181,皇马科技,14.15,-0.25,-1.74,14.52,14.13,3737500,53400000.0,83.3,2.5,20.94,15.84,0.63,沪市A股
301382,蜂助手,32.66,-0.58,-1.74,34.2,32.63,7021600,234360000.0,93.27,5.04,69.73,39.89,3.98,深市A股
688601,力芯微,52.4,-0.93,-1.74,54.1,52.23,366604800,194090000.0,70.05,5.57,196.16,64.0,2.74,沪市A股
605180,华生科技,14.65,-0.26,-1.74,15.15,14.44,1439300,21350000.0,24.76,2.17,50.1,16.4,0.85,沪市A股
002660,茂硕电源,8.49,-0.15,-1.74,8.76,8.48,4549400,39240000.0,30.28,2.52,44.87,9.5,1.33,深市A股
002518,科士达,45.1,-0.8,-1.74,46.7,44.81,7245000,329900000.0,262.58,5.64,66.61,50.49,1.28,深市A股
688026,洁特生物,16.42,-0.29,-1.74,16.99,16.32,154007300,25690000.0,23.05,1.9,47.8,20.05,1.1,沪市A股
600589,大位科技,10.68,-0.19,-1.75,11.18,10.64,130467500,1417390000.0,158.56,22.3,-716.44,11.96,8.82,沪市A股
002928,华夏航空,7.84,-0.14,-1.75,8.08,7.82,24976800,198360000.0,100.21,2.51,37.4,8.78,1.95,深市A股
000768,中航西飞,24.66,-0.44,-1.75,25.41,24.6,26439100,661230000.0,685.83,3.09,59.57,27.61,0.95,深市A股
301139,元道通信,17.44,-0.31,-1.75,17.95,17.4,2368400,41850000.0,21.2,1.09,50.06,21.3,3.11,深市A股
300726,宏达电子,41.65,-0.74,-1.75,43.08,41.49,4438400,187620000.0,171.53,3.41,61.43,50.87,2.07,深市A股
601111,中国国航,6.73,-0.12,-1.75,6.97,6.7,82922800,565240000.0,1174.28,2.76,-66.33,7.54,0.71,沪市A股
